,Index,article,headline,emotion,neg,neu,pos,compound,Sentiment,Subjectivity
0,0,musician tackle red tape musician group tackle visa regulation blamed hindering british act chance succeeding atlantic singer hoping perform expect pay simply obtaining visa group including musician union calling raw faced british performer act faced comparable expense bureaucracy visiting promotional purpose nigel mccune musician union british musician disadvantaged compared counterpart sponsor petition behalf form amounting nearly page musician face tougher regulation athlete journalist mistake form risk ban ability career say mr mccune biggest music market mean creaky bureaucracy say mr mccune current situation preventing british act maintaining momentum developing added musician union stance endorsed music manager forum mmf british artist face uphill struggle succeed thanks tough visa requirement seen impractical mmf secretary james seller imagine orchestra orkneys member travel london visa processed market seen holy grail benchmark success fight important market india china added mr seller department medium culture sport spokeswoman aware experiencing problem working embassy embassy aware entertainer require visa specific visa process application speedily aware importance cultural exchange facilitate added,entertainment,sadness,0.131,0.712,0.157,0.7351,0.045892094017094015,0.2657257326007326
1,1,desire number prestigious grammy award hit vertigo stubbornly clinging status biggest band world popular group history rock thing common music inspired appeal generation distinctive groundbreaking success music compelling performer charismatic intelligent decision foot ground want want biggest band stop wanting beatles rolling stone rem hold queen catsuit spade churning new album dismantle atomic bomb come year schoolfriend got dublin year joshua tree cemented rock list lost edginess raw youthful force propelled lost desire ability craft song album vertigo single new album straight uk single chart number knocking eminem spot giving hit challenge bigger bolder better record world listen bono recently drummer larry mullen jr echoed sentiment competitive want radio single want veteran band band considerable power ensure remain biggest band world q magazine editor paul rees make hugely determined formidable equally determined push music continues stand constantly invented challenged rock band got better age ingredient fact highly organised rees way born mullen appeal bandmates school notice board attracting fellow pupil paul hewson bono vocal adam clayton bass evans edge guitar brother dick dick evans soon dropped piece known feedback hype settling talent contest got noticed manager paul mcguinness brilliant coarse mcguinness recently way exactly badly struggled attract attention described pretty damn average strange eerie scout saw live released ireland single topped chart leading island debut album boy stadium filling anthemic sound aim album war saw breakthrough side atlantic number uk song sunday bloody sunday new brought success image political spiritual band bono rejected cliche stage performance included flag waving speaker climbing drum throwing earned reputation electric performer appearance live aid widely sealing global stardom joshua tree broke record saw band reach height power hit street song band epic atmospheric sound simple powerful popular pinnacle decade marked crucial point band reached yearned new challenge achievement form exploration different branch rock foray electronic dance music plus wildly extravagant stage show trying retain mass appeal achtung baby album followed zooropa pop corresponding stadium tour featured giant olive flying car live phone call white house bono transformation alter ego fly macphisto building parallel reputation pleasure bandmates campaigner issue global debt aid release dismantle atomic bomb sold album world want,entertainment,joy,0.117,0.666,0.217,0.9854,0.0950501957059334,0.47569408733343144
2,2,rocker doherty stage fight rock singer pete doherty involved fight band guitarist gig date babyshambles played fan london brixton academy tuesday libertine singer traded blow guitarist patrick walden separated bundled stage returning held audience overcrowding monday doherty faced blackmail robbery charge court denies bail judge agreed extend gmt curfew deadline hour brixton gig babyshambles formed acrimonious departure libertine played warm garage north london monday tuesday doherty bandmates introduced crowd mick jones clash guitarist produced libertine album babyshambles took stage frenzied reception gmt launching single killamangiro reached stop song persuade fan push forward allow security guard pull people crush doherty appealed fan calm people getting hurt resumed minute song singer appeared accidentally disconnect walden guitar leading pair trade kick punch bouncer stepped band left stage returned minute finished minute performance trouble doherty midnight observe curfew condition bail monday judge agreed allow perform condition request change bail term regular occurrence singer arrested fellow musician alan wa february alleged dispute documentary maker max carlish london hotel court april,entertainment,joy,0.172,0.682,0.146,-0.7964,0.06607142857142857,0.2426510989010989
3,3,snicket top box office chart film adaptation lemony snicket novel topped north america box office chart displacing ocean series unfortunate event starring jim carrey took debut weekend ocean fell number entry spanglish entered chart number series unfortunate event star scottish comedian billy connelly carrey take number different role surreal film entry flight phoenix number starring dennis quaid carrey entertained crowd premiere lemony snicket friday actor grabbed co star meryl streep whisked leicester square based cult child book author daniel handler film follows child orphaned parent die fire taken wicked uncle count olaf played carrey scheme hand fortune,entertainment,sadness,0.133,0.696,0.171,-0.128,-0.05,0.82
4,4,ocean raid box office ocean crime caper sequel starring george clooney brad pitt julia robert gone straight number box office chart took weekend ticket sale studio estimate sequel follows master criminal try pull heist knocked number treasure wesley snipe blade trinity taking rounding animated fable polar express starring tom hank festive comedy christmas kranks ocean box office triumph mark fourth opening december release film lord ring trilogy sequel narrowly beat predecessor ocean took opening weekend total remake starring frank sinatra rat pack ocean directed oscar winning steven soderbergh soderbergh return direct sequel reunites clooney pitt robert matt damon andy garcia elliott gould catherine zeta jones join star cast fun holiday movie dan fellman president distribution warner bros critic complimentary project los angeles time labelling dispiriting vanity project milder review york time dubbed sequel unabashedly trivial,entertainment,joy,0.075,0.738,0.186,0.9413,0.07166666666666666,0.42000000000000004
5,5,landmark movie hailed film professional declared fahrenheit passion christ significant cultural milestone american film institute afi hailed mel gibson biblical epic moore political documentary inspiring debate claimed film maker tossed hollywood convention window institute cited death actor marlon brando changing landscape news referring marlon brando death july age afi jury concluded art screen acting chapter brando brando credited screen legend raw hypnotic energy ability create character stanley kowalski terry malloy live forever annals film history list acknowledges influence trend film broadcasting trend highlighted broadcast veteran newscaster tom brokaw barbara walter impending retirement cbs news anchor dan afi fear news landscape newscaster personality journalist balance integrity increasingly ignored afi questioned term viability evening news broadcast light hour news channel internet list draw attention growing influence broadcasting regulator federal communication commission fcc institute concluded threat regulation freefall janet jackson wardrobe malfunction live super bowl performance february profound effect television unsure fcc rule issue creative community begun self censor show disturbing trend founded free expression afi jury declared illustrate afi cited abc affiliate refusal air steven spielberg film saving private ryan unedited form fear possible fine,entertainment,joy,0.132,0.699,0.169,0.5106,0.12955869887688065,0.4944638694638695
6,6,pete doherty miss bail deadline singer pete doherty spend weekend jail bond money bail time libertine singer granted bail curfew restriction highbury corner magistrate court charge robbery blackmail lawyer money raised time mr doherty arrested alleged incident london hotel wednesday evening musician alan wa north london appeared court accused offence magistrate imposed range bail condition mr doherty including curfew attends drug rehabilitation centre told leave accompanied security surrender passport report daily local police station mr wa given curfew told surrender passport mr doherty left libertine june continued performing band babyshambles singer linked supermodel kate moss arrested police called islington hotel response claim man assaulted man university college hospital london facial injury discharged lawyer representing mr doherty mr wa outside court pair strenuously denied charge,entertainment,joy,0.208,0.762,0.031,-0.9652,-0.028571428571428574,0.021428571428571432
7,7,fockers retain chart crown comedy meet fockers held spot north american box office second week took weekend making overall taking according studio estimate took christmas day highest taking day box office history sequel ben stiller comedy meet parent star robert de niro dustin hoffman barbra streisand success meet fockers produce record box office revenue paul dergarabedian president industry tracker exhibitor relation stronger anticipated week year helped industry high note dergarabedian meet fockers broke box office record taken new year eve new year day took previous new year eve record cast away lord ring return king held new year day title christmas taking figure blamed christmas falling weekend year weekend film took estimated increase weekend year major release week provide competition meet fockers lemony snicket series unfortunate event finished second place aviator starring leonardo dicaprio howard hughes ended position taking comedy fat albert co written bill cosby moved chart fourth place taking,entertainment,love,0.063,0.841,0.096,0.6808,0.02866341991341991,0.2874891774891775
8,8,gig award scissor sister york band scissor sister gig year award performance year v festival award voted listener virgin radio compiled dominated newcomer music scene year quirky disco rock band beat red hot chili pepper came hyde park performance june virgin radio dj pete mitchell year amazing array talent come mainstream scissor sister original eccentric band come surprise public lapping performance newcomer keane came place august gig v festival followed maroon snow patrol music veteran bowie earned place list number respectively number seven oxfam fair trade gig hammersmith apollo october featured performance rem razorlight coldplay chris martin glasgow franz ferdinand earned place number home town performance april annual survey voted nearly listener,entertainment,love,0.0,0.725,0.275,0.9855,0.18409090909090908,0.496969696969697
9,9,johnny depp acting outlaw johnny depp latest role peter pan creator jm barrie finding neverland celebrated hollywood maverick talent depp unlikely major star preference dark idiosyncratic role surefire box hit long relationship equally unconventional director tim burton depp born kentucky rock star playing band supporting act iggy pop b florida visit los angeles wife introduced actor nicolas cage started film career playing doomed teenager horror film nightmare elm street year later played soldier oliver stone vietnam epic platoon tv depp star played undercover cop tommy hanson jump street year began partnership burton dark fairy tale edward scissorhands man blade hand plaudit downbeat film eating gilbert grape played sensitive youth overweight mother retarded younger brother played leonardo dicaprio role burton ed wood starred depp crazed cult film maker wood played sensitive role major film donnie brasco portrayed undercover cop infiltrating mafia ring directed film date brave story indian man offered appear snuff film year later played hunter thompson terry gilliam ambitious poorly screen adaptation fear loathing la vega worked tim burton horror film sleepy hollow appeared opposite dame judi dench juliette binoche chocolat performance pirate caribbean earned golden globe bafta nomination critic thinking mannerism friend rolling stone guitarist keith richards latest role finding neverland explored jm barrie relationship sylvia kate winslet child depp charismatic performance drew audience adult child alike barrie vivid imagination fifth child film director marc forster child french singer vanessa paradis previously long relationship british model kate moss theme child literature depp career long association tim burton role playing willy wonka remake roald dahl classic charlie chocolate factory british tv comedy remember depp guest role episode sketch fast cited favourite surprise depp varied intriguing career,entertainment,joy,0.087,0.763,0.15,0.9371,0.0699074074074074,0.4351851851851853
