,Index,headline,article,date,publisher,sentiment,subjectivity,emotion,neg,neu,pos,compound,Sentiment,Subjectivity
0,1,katherine texas incoming says planning campus fall,sign katherine bank became new engineering school dean texas university associate dean drove zachry heart engineering program college pulled garage honked horn twice preventive measure scare skunk infested aging building reeked engineering student dubbed inside lecture revolving year skunk bank raised million private donation helped build engineering building boast multiple lab collaborative meeting commissioned original art inspired technology half million square foot building enrolls student nearly twice number student many leader within texas point center physical testament success running enrolls nearly third texas student house bank assistant vice chancellor joked last week tour causing bank know came said typically one seek starting june enter spotlight president biggest second woman ever run flagship take texas face multiple including navigate return campus operation pandemic upended learning campus also take rein diversity inclusion plan meant increase student faculty color year conversation racial injustice inequality campus took center board regent last week approved next president texas annual salary next five bank ended negotiating salary le initially offered due current economic situation brought rest university gonna hell show said system chancellor john said tried convince bank apply president six year ready leave engineering visionary core giving opportunity student think make texas leader said bank track record proven interview texas bank tread cautiously reluctant even outline vision broader university discus goal declined weigh heated issue certainly address coming like debate lawrence sullivan ross even stopped short definitively choosing favorite piece art zachry building believe would presumptive outline vision without first meeting listening many constituent stakeholder opportunity bank wrote response follow said plan embark listening tour across campus making concrete plan setting admits learning curve ahead come running aspect including student affair bank clear want fall semester texas something return hopeful full stadium walk around hopeful social bank said emergency adjust right perhaps aggie planning fully operational campus normal said student learn best classroom interacting faculty may information need graduate cautioned simply returning college life anticipates much fall include rebuilding community social faculty student organization waned difficult maintain push totally fall semester support many faculty chair faculty said faculty understand push return concern teaching person become another surge summer going raise concern worry amongst stallone hope flexibility far remain take said anticipates future higher education include kind hybrid remote stallone caution often mean extra work use lecture direct easy transfer thing little bit differently order work junior student body president texas said think normal fall also contingent student getting vaccinated interested seeing new leadership handle ahead fall think trickiest part trying convince student body want get mendoza student hesitant get may le concerned getting seriously ill prioritizing finding said encourages everyone get declined share opinion whether belief vaccine private university announced vaccine required fall cornell university rutgers university also among university nationwide mandating intense protest broke campus statue sul former texas president confederate would share personal opinion saying decision keep statue final supported initiative established improve diversity among student task force set provide recommendation academic ross statue tell full story plan diversity bank said texas done good job recruiting hispanic recognized black student population remained currently hovers around though black people overall stressed university plan address pointing initiative approved board regent earlier year includes nearly million dollar additional scholarship recruit student color increased effort hire faculty bank increased student enrollment within engineering grown equally across black student still make around engineering student fall said recruiting black student engineering national challenge educator need start introducing student possible future engineering pointed multiple program launched introduce student curriculum help science math additional program current texas including summer bridge program help underprepared student get came texas purdue headed civil engineering professor kansa state university describes persistent leader afraid tell student often certainly basic skill work stand back dust start figure done well tend want many biggest win highest profile initiative past year texas fingerprint instrumental also oversaw partnership army future command made rellis campus hub military research new technology testing modernizes including research hypersonics autonomous bank set goal enrolling engineering student ignoring skeptic argued aggressive expansion would water school currently track meet target prestige last news world report ranked graduate engineering school country best state first squeaking university texas often refers back humble upbringing kentucky place developed value emphasis community also learned first hand insurmountable young people pick leave college really talk bank certainly discussed high really talk moving talk want grow pack earned degree university grandfather deeply respected close relationship angry would father graduated said experience disappointing grandfather gave perspective many first generation college student struggle prospect leaving one reason set engineering academy across state student accepted texas take first two year one six partner community student taught engineering professor texas bank sends local area could impoverished family student college student quite daunting think leaving surrounding supportive bank one two year community develop cohort cohort come show student academy achieve slightly higher grade point average engineering student start college station texas university texas austin university texas system financial supporter texas nonpartisan news organization funded part donation foundation corporate financial supporter play role find complete,9-Apr-21,Texas Tribune,0,0,joy,0.065,0.774,0.162,0.9976,0.08703740703740702,0.3795843970843971
1,2,texas investigating cheating case universities see academic misconduct era online classes,need stay updated coronavirus news evening roundup help stay top latest already unusual fall semester wrapping texas university official sent email early december hundred student online finance class set reported concern cheating large aggie honor system noticed student class answered online test question faculty discovered entire exam posted website become synonymous official told guilty student come forward found violation academic honor could face suspension engaged would like encourage strongest way reclaim personal said timothy director aggie honor system email official texas expert elsewhere said academic misconduct case increased pandemic remote course online assignment create opportunity student push texas academic dishonesty report increased much last power university north texas saw texas state university saw report cheating increase previous university houston saw report double last fall case taking assessment class teacher watching computer said rachel lecturer texas state vice chair honor code review academic misconduct opportunity increased dramatically use online case texas student interviewed texas tribune said used website called chegg access answer website started year ago textbook rental since expanded include online monthly student submit question someone around world answer within critic said site helpful student seeking argue many student misusing pas another work texas online learning track long test question displayed said student answered question faster would take read said email student finance class already admitted either posting question online someone else could answer searching already answered question complete assignment tutoring website university administrator chegg spokesperson said support academic believe expertise experience important actually retain knowledge apply whatever field student seek upon ask student stick honor chegg prohibits cheating share user information activity university suspect foul would say whether texas requested student activity regarding finance texas would discus detail including many student neither two doctorate student taught class responded request benign contract cheating implication credibility academic institutional accreditation society student engage contract cheating enter move leadership statement honor code aggie cheat steal tolerate refrain ingrained student starting freshman student cheating university said stress ongoing pandemic shift virtual class made difficult find study partner connect professor person factor contributed decision create account culmination pandemic effect assignment ease access chegg made decision use outside help lot easier junior class told tribune via student asked named fear hurting future job junior said started using chegg help homework struggling course material online saw exact question chegg appear moment realized actual exam question canceled student allowed use note textbook quiz test throughout policy access review test question letter submitted university part different unnamed student said professor provided explicit communication acceptable given many taking variety hybrid internet attempt help student figure solve certain specifically give gray area throughout student professor ever talk gray area monitor suspicious activity shaped general understanding student held course integrity expert said providing proactive reminder acceptable help deter student common sense dictate student behavior considered difference student using online tool prepare learn power completely different student walk exam seen identical question identical multiple choice answer different realize online resource group messaging creating opportunity student last professor texas tech university lubbock also saw evidence cheating according email obtained office recommended making final exam available hour past multiple professor shared administrator disagreed arguing allows student collaborate use online student ignore wrote journalism professor lyombe eko email administrator referring honor said saw instance cheating medium law least student answered question obscure incorrect answer included lecture test exam student post discus peer eko student wait answer start take said student alerted groupme plan explicitly tell student sharing information groupme count academic tech administrator also suggested faculty use online proctoring tool called prompt student turn microphone camera professor monitor multiple professor said felt proctorio invasion student across country said way professor mitigate advises professor search question online see create large bank question student taking identical test provide flexibility deadline student feel pressured said many student digitally savvy especially never taught online course course shifted online rapidly preventing cheating top even trying catch many thing kind took back problem site soon professor get handle one similar one pop davenport said even website student pay someone take entire online class aggie student spoke tribune misconduct received failing grade class placed academic probation complete academic integrity also barred graduating administrator said student suspended could take long month navigate including winter student also appeal believe punishment aggie senior said received f class said relieved also asked named fear repercussion speaking think university reflect way course offered future going agree time way handled entirely arguing professor caught earlier widespread think really question professor fact many people large something questionable texas texas tech university texas austin university north texas financial supporter texas nonpartisan news organization funded part donation foundation corporate financial supporter play role find complete,"Dec. 16, 2020",Texas Tribune,0,0,fear,0.109,0.74,0.15,0.9766,0.07139550264550265,0.35415013227513215
2,3,texas grant free room board ukrainian students,sign student across texas university campus research center receive free tuition starting next chancellor john sharp said university system cover tuition well certain living least student ukraine identified eligible financial support associate vice chancellor tim eaton number likely increase student move part response invasion earlier texas announced would student ukraine sad difficult position homeland family member either fleeing safety fighting save sharp said tuesday memo university many student ukraine longer home return parent remain unable work fund new initiative come university certain agree devastation student family face qualifies sharp memo also said university system open facility accommodate displaced ukrainian professor student continue work research texas university system sit offer support putin continues illegal immoral attack ukraine sharp wait welcome person online texas university texas university system financial supporter texas nonpartisan news organization funded part donation foundation corporate financial supporter play role tribune,29-Mar-22,Texas Tribune,0,0,joy,0.116,0.677,0.207,0.9022,-0.025402597402597395,0.49589610389610395
3,4,texas announces online classroom capacity caps daily cleaning schedules fall return,university college letter carol provost executive vice said university working number class least one meeting instructor week almost half class would available safely hosting student fall semester lead series class available remotely student return campus fall change prompted widespread installation microphone equipment bring classroom limit course schedule class scheduled later come texas official floated possibility holding saturday class spread student return campus fall provided class space foot school plan implement classroom cleaning period noon fierke said could lead rescheduling indicated university still planning maintain social classroom limited change come university official forced scramble transition remote learning midway spring semester new coronavirus reached guideline echo announced university texas classroom capacity also course spread reduce number student campus many course offered exclusively previously announced class would begin three day earlier final exam would moved online thanksgiving faculty staff required wear face mask campus official also previously indicated residence hall would student expected maintain social distancing much possible designated space residence hall student use quarantine texas university university texas austin financial supporter texas nonpartisan news organization funded part donation foundation corporate financial supporter play role find complete list,16-Jun-20,Texas Tribune,0,0,joy,0.025,0.904,0.071,0.7096,0.02631673881673882,0.3054473304473305
4,5,lucrative los alamos national lab contract awarded team includes texas,texas university system part alliance awarded lucrative contract manage operate los alamo national birthplace atomic department headed alumnus former texas university texas system also bid worth estimated billion year extended five increment following base new mexico current management contract expires end september adjusted allow transition according energy committed building legacy unparalleled service public good hallmark laboratory since founded system chancellor john sharp said said triad provide additional information transition prominent federal lab facility employee los alamo overseen energy national nuclear security administration house radioactive nuclear lab currently operated consortium includes bechtel corporation university involved running lab since low performance mark undersecretary nuclear said news release los workforce continue answer call los alamo national laboratory forefront scientific technological innovation enhance national lab continue critical resource ensure future safety security united state begin work new like effort recapitalize plutonium pit lost bid partnership purdue university texas system also submitted bid cost university california battelle also run lawrence livermore national laboratory california committed working new management team ensure transition seamless said terry director los alamo national contract change bring new team parent mission remains serve nation tradition excellence defined los alamo last texas university system university texas system financial supporter texas nonpartisan news organization funded part donation foundation corporate financial supporter play role find complete list,8-Jun-18,Texas Tribune,0,0,joy,0.027,0.765,0.208,0.9897,0.057411067193675884,0.3489789196310935
5,6,federal judge throws hiring discrimination lawsuit texas,sign federal judge decision published district judge charles eskridge said passage senate bill ban public university texas considering race characteristic beyond merit hiring render lawsuit brought richard white finance professor university texas moot longer ripe light substantial change applicable factual development plainly required scope injunctive relief would fit judicial judge challenge practice sb actually take action applied position texas according application considered perceives equal said believed could strong candidate apply job judge ruled lowery cannot assume ongoing discrimination exists candidate putative plaintiff could sue potential employer without ever simply upon allegation posited discriminatory practice deterred eskridge represented america first legal group created stephen policy adviser former president donald jonathan former solicitor general texas legal architect abortion lowery mitchell responded request comment texas system sent press release announcing system spokesperson said system comment ruling filed lawsuit texas university system board well specific administrator texas claimed new fellowship program announced summer called equity scholarship faculty fellow violates title vi title ix federal civil right act well equal protection ace program focus hiring recently graduated doctoral student want enter separate ace plus program focus senior hire underrepresented minority contribute moving structural composition faculty towards parity state set aside million next two fiscal year help match base salary maximum texas announcement new fellowship program july university identified underrepresented group african hispanic latino native alaskan native native lawsuit also accused texas setting aside faculty position specifically racial point august email sent unnamed business professor head recruiting committee department shane heard someone one line reserved email according copy included exhibit johnson replied later underrepresented line would potentially third yes one lowery dismissed claim system filed amended complaint former president university filed another motion supreme court held admission public university around state lawmaker also passed law ban equity inclusion office public university prohibits university giving preferential treatment job candidate based sex ethnicity national eskridge requested texas lowery submit supplemental argument case move forward given legal argued sb already requires university change hiring practice provide preference different group people submitted memo ethic compliance officer indicating school begun comply texas spokesperson told texas tribune ace program phased academic year ace plus program currently submitted additional evidence try prove including online announcement made interim president texas regarding implementation sb judge said additional submission change fact case certainly time place enough lowery bring action texas continues belief unconstitutional hiring judge nothing construed preclude later action future first legal also texas texas university system university texas austin financial supporter texas nonpartisan news organization funded part donation foundation corporate financial supporter play role find complete,"Sept. 29, 2023",Texas Tribune,0,0,sadness,0.084,0.813,0.103,0.4767,0.04616883116883117,0.2619437229437229
6,7,texas president katherine banks resigns amid fallout failed hiring journalism professor,sign week turmoil botched hiring black journalist revive texas university journalism katherine bank resigned welsh dean bush school government public serve acting president board regent meet name interim texas system chancellor john sharp recommended appoint welsh interim board national search new resignation effective receive severance letter sent system chancellor john sharp thursday bank recent challenge regarding mcelroy made clear must retire negative press distraction wonderful work done fallout garnered national medium mark culmination often met pushback faculty student consistently raised concern direction taking university way administration communicating faculty leader passed resolution calling involvement university research leader campus raised concern forced walk back decision abruptly end print publication student student alumnus administration also faced pushback student school decided cut funding sponsorship annual campus drag known throughout sharp remained supportive response mcelroy told tribune text message friday deeply grateful groundswell support especially aggies former current much could say say reserve statement future latest fracas campus led resignation come faculty senate passed resolution wednesday create committee mishandling hiring bank took responsibility flawed hiring process told faculty member approve change offer letter led prospective journalism professor walk away negotiation amid conservative backlash hart head department communication journalism closely involved said statement friday bank interfered hiring process early university office general counsel begun investigation failed said laylan vice chancellor marketing probe include review communication document well interview key university official like bank determined get bottom happened learn mistake better copelin said experienced journalism professor currently working university texas austin previously worked editor new york turned offer reboot journalism program offer letter really make clear want mcelroy said last week form fashion would give tenured position ut contract emphasizes let go texas celebrated hiring mcelroy public signing ceremony announce week vocal group outside university system expressed issue previous employment new york time support diversity mcelroy said told everyone pleased joining critic hiring focused prior work diversity said told josé luis interim dean texas college art though give pressed said told black woman worked new york told conservative new york time akin newspaper communist party russia began early said bermúdez ultimately told could protect university leader facing pressure fire surrounding appointment advised mcelroy stay tenured role group voiced concern administration selection rudder conservative alumnus group previously response resignation rudder association matt poling join others appreciation nearly year dedicated service texas including last two president great raised concern week role outside influence hiring meeting faculty senate bank said met rudder association since term president started two year vice president faculty affair anand said outside group contacted office regarding thursday sharp said letter faculty shared concern outside influence hiring promotion said play role hiring process except three top president vice chancellor agriculture influence never also frustrating outside group try take credit sowing doubt discord among aggie sharp three believe place part hiring process hiring decision stay came university across state dismantling equity inclusion office state passed law banning day following faculty leader speaker texas faculty wrote letter addressed bank sharp executive committee appearance outside influence hiring promotion first time faculty raised concern bank since became president two year ago spending decade vice chancellor dean engineering texas immediately hired mgt consulting review organizational structure provide recommendation december announced recommendation accepted implemented throughout first recommendation include combining college liberal college science college geosciences college art launching new school visualization fine art house performance dance visualization program one reviving journalism change met restructured library longer house tenured forcing tenured librarian switch another academic department order keep tenure lose new hire eligible tenure moving also approved restructuring qatar branch texas middle east offer engineering undergraduate graduate faculty work area beyond engineering longer able conduct faculty teach area grant degree shift rolling contract contract five faculty teach area annual critic argue create job bank consolidated school leadership one argued changing faculty contract process make difficult recruit quality many leave bank drew criticism researcher campus council principal elected group faculty researcher help oversee research activity conducted survey found according response faculty researcher within system allowed oversee research poll found principal investigator trust current many feel administrator cultivating environment fear intimidation survey research faculty lamented university made many interim appointment leadership rather conducting national search fill open led handling also felt administration effort faculty involved planning council decided organize poll december chemist texas karen wrote letter bank warning many change made since starting president substantial disruption threatening integrity prestigious precious texas u conversation matter newly announced speaker,21-Jul-23,Texas Tribune,0,0,sadness,0.089,0.783,0.128,0.9829,0.09577400511135453,0.43281763417305585
7,8,texas suspended professor accused criticizing dan patrick lecture,sign respected opioid texas university professor returned home giving routine lecture opioid crisis university texas medical branch march learned student accused disparaging hour took drive complaint made way job suddenly ton please call wrote chandler utmb professor invited right supervisor chancellor john former state comptroller hold position texas university includes public university sharp communicating directly lieutenant office promising swift two hour lecture chief staff sent sharp link professional sharp sent text directly lieutenant alonzo placed administrative leave pending investigation firing shud finished end text message signed free speech health expert texas investigation alonzo shocking demonstration quickly university leader allow politician interfere classroom discussion topic expert another example increasing political involvement state leader texas university revelation come texas reeling concern university allowed politically motivated outsider derail hiring email obtained texas tribune public record alonzo told self investigation kicked student tie texas texas system confirmed series phone call text message led investigation kicked texas land commissioner dawn graduate medical tribune confirmed medical student attended buckingham served six year texas senate endorsed run land commissioner last recently attended wedding declined one day story buckingham tweeted response address question encouraged elected meaningful policy destructive blame hour texas started looking course leader utmb sent email student class saying comment lieutenant governor dan patrick role opioid represent opinion email also included although specify said utmb texas would confirm alonzo said prompted utmb student interviewed tribune recalled vague reference office nothing declined comment alonzo declined texas allowed alonzo keep job internal investigation could confirm texas university system spokesperson laylan copelin said text patrick saying unusual chancellor elected official informed something texas might interest unusual respond state official concern anything occurring texas said said system followed standard procedure look respond request attorney foundation individual right nonprofit legal group focused protecting free speech college said would highly inappropriate university conduct investigation faculty member say something critical state leader government misuse institutional one chilling effect chilling effect even wind clearing steinbaugh day complaint marcia professor texas health opioid task force warned incident galveston yesterday probably indicator sensitive politically charged topic need tread lightly aware anything taken ory wrote email jon vice president texas shame want make people aware strategy save especially among youth young adult especially vulnerable wrote respond request spent two decade pharmacist missouri taught college student texas teach texas working ambulatory care pharmacy director free health clinic helped bring million federal research dollar last year texas pharmacy school recent project focus training people use nasal spray revers opioid effect save life overdose also advised state leader public policy could improve fight opioid synthetic opioid often illegally manufactured mexican drug growing overdose death involving fentanyl state rose nearly allocated instead backing recommended strategy reduce overdose legalizing test strip detect presence fentanyl lawmaker focused health expert like alonzo largely supported effort rather increasing punishment drug crisis alonzo often received urgent email texas school district law enforcement agency eager training naloxone estimated given away professor scheduled alonzo give lecture medical student month tell enough much student value self wrote according email obtained open record get feedback time telling important view come even month later tell march two started day breakfast mosquito cafe galveston heading mandatory student lecture according presentation slide obtained tribune open record alonzo gave student broad overview opioid crisis science behind walked prevent opioid recognize overdose administer even touched police dog exposed slide show alonzo discussed lack infrastructure limit ability respond noting many texas county lack medical reporting opioid death emergency room many law enforcement agency local health department track opioid mean center disease control prevention considers texas nonreporter come opioid make difficult researcher receive grant tackle gave presentation legislature passed new reporting law lecture ended around student gathered front class grab free naloxone kit provided stuck around ask alonzo instructor gave indication anything gone got car started journey alonzo learning controversy course coordinator sent email entire class distancing utmb comment alonzo allegedly made subject line formal statement made guest lecturer represent opinion position university texas medical considered core curriculum content email support condone take matter seriously wish express disapproval comment apologize harm may caused member email hereby issue formal censure statement take step ensure behavior happen email specify comment led trouble started several hour earlier buckingham called patrick alert professor made negative comment guest lecture said system buckingham called jenny university vice chancellor governmental said text message alerted buckingham provide information sent text called sharp kevin chair university texas copelin call sharp patrick chief darrell followed text sharp linked faculty eltife declined staff member look complaint staff member asked president katherine office said request went chain command health science center ended kevin vice president chief compliance government relation team alerted health science center pharmacy affiliated copelin official received copy censure statement reached utmb copelin close mcginnis decided put alonzo paid leave investigate determine really copelin said situation official updated patrick minute utmb sent official censure jones alerted deputy chief marian investigation alonzo placed administrative leave pending firing investigation week read message jones obtained tribune public record said handling complaint alonzo followed standard procedure appropriately updated relevant lawmaker investigation matter reasonable step particularly utmb issued public statement one faculty would irresponsible look would answer question specific policy alonzo may violated comment provide document pertaining citing state law allows university withhold information person cleared timing complaint came legislative session heating including texas making pitch lawmaker devote surplus fund special predicament also come texas university dealing increasing government involvement ostensibly independent public particularly hand alonzo accused texas lawmaker banned equity inclusion office college priority office target underrepresented group campus help critic accused pushing ideology student also prioritized bill would limit certain conversation race gender college professor publicly reaffirmed academic freedom teach critical race theory last patrick pledged ban tenure public proposal faculty say broad attack higher education made texas le appealing difficult place student utmb received email hour several started texting trying figure alonzo said one student asked remain anonymous fear retaliation student wondered alonzo said lieutenant office one reason hard drug user access certain care opioid addiction second student also asked remain anonymous reason said alonzo made comment lieutenant office opposed policy could prevented allowed people third student also spoke condition anonymity said alonzo talked like ban fentanyl test direct impact ability prevent opioid overdoses push legalize test strip died earlier year senate student interviewed said felt comment accurate offended anything statement provided system alonzo said remark mischaracterized taken confirm exactly comment added issue university handled copelin third student utmb said email school frustrating unclear comment university found left wondering exactly objected student vagueness lead since hard tell attorney legal nonprofit said school right criticize employee guest speaker statement issuing formal censure sends strong unambiguous suggestion repeat language subject disciplinary consequence go beyond formal way really put exclamation point chilling statement last week faculty upset fallout botched hiring mcelroy journalism sharp expressed concern outside influence hiring promotion saying said participates hiring question president vice chancellor agriculture believe place part hiring process hour alonzo reached self trouble finally heard tone email notably different earlier cordial said record lecture noted correspondence funneled office referred request comment tribune medium relation declined discus email obtained open record request show opioid expert advocate across state started sending alonzo letter support never seen anything wrote kathy helped start clinical associate professor pharmacy university texas wrote letter alonzo divisive present guest lecture university texas medical branch interaction alonzo give great confidence engages learner discussion controversial topic professionalism restraint described established principle academic stake high professor simultaneously work field many like raise concern medical expert working issue like opioid crisis might withhold information fear reprimand dealing basic chilling effect much deep said aaron addiction treatment expert austin work researcher public university combat opioid feel emboldened share basic science could save march two week placed paid alonzo received email saying leave following pharmacy school dean george udeani said memo alonzo lecture anecdote interaction state understand comment assign member audience felt anecdote important preserve defend academic freedom able discus present student public result research observation mindful present udeani texas texas university university texas university texas system kathleen mcelroy financial supporter texas nonpartisan news organization funded part donation foundation corporate financial supporter play role find complete u conversation matter newly announced speaker,25-Jul-23,Texas Tribune,0,0,sadness,0.11,0.777,0.113,-0.4019,0.026690412528647824,0.3884407308377899
8,9,texas officials say moving sul ross statue longer students say university never made clear,sign leadership clearing lawrence sullivan ross honoring former university president confederate staying president john junkins stressed intention texas tribune two day university said statue remain center known academic hope communication put today hopefully clear junkins told acknowledging clearer stance statue board regent met earlier week discus diversity texas university system board regent official said wednesday decision keep ross statue place new diversity committee studying issue past three month never considering removing system chancellor john sharp cited attorney general opinion said removing statue would require act least one student served committee said unaware moving statue called told tribune reporter say appreciate report thing need breath say going said matthew francis junior served commission representative tamu chapter point progress power make progress going continue double thing trying make progress report released monday framed future ross statue undecided said current student think final decision need made ross statue university strife division would continue damage reputation left committee looked university dealing similar debate remove symbol name finding show based case study texas decides removal ross likely chance protest controversy surrounding report noting question whether legislative approval required move remove debate sul ross statue persisted summer protest across nation demanding racial tamu student began calling removal became interim president said told prior assuming role statue would remain current studied issue last elaborate decision keep statue came michael group asked begin making recommendation lawrence sullivan ross statue near equity inclusion committee formally announced month committee tasked mention sul ross young set deadline published three month senior director black student alliance council advocated said wednesday also unaware decision made keep statue said university transparent adding diversity committee led believe removal still really curious told community decision sullivan ross new task force march provide university leadership possible design new academic texas,"Jan. 27, 2021",Texas Tribune,0,0,surprise,0.053,0.853,0.094,0.9359,0.007013685239491691,0.41522482893450646
9,10,texas student president removed office,sign general texas university student senate voted wednesday night impeach remove student body president hudson kraus student senate brought motion impeach kraus earlier month member senate claimed misused office benefit younger also student impeachment trial conducted executive kraus immediately respond request controversy began student senator revealed apologized senator family incredibly important wanted try protect brother see best kraus wrote apology letter published made inaccurate decision indicative character trying defend member battalion reported senator wanted public kraus filed appeal judicial court texas according request made someone belief error student government court student justice granted paused proceeding judicial trial kraus withdrew according statement released defending stating authority adjust cabinet position qualification apologized proactively communicating revision qualification read aloud general senate meeting requested intermediary action alternative kraus adding impeachment used someone misused impeachment would overturn desire texas student elected represent student body senator declined comment citing gag internal affair committee make official last time member texas student government brought impeachment proceeding student body president impeachment impeachment ultimately state leader served student body president including texas university system chancellor john also student body president attended baylor texas university texas university system financial supporter texas nonpartisan news organization funded part donation foundation corporate financial supporter play role find complete,"Sept. 28, 2023",Texas Tribune,0,0,sadness,0.022,0.829,0.149,0.9738,0.11333333333333336,0.29555555555555557
